timestamp,usd_krw,est_usd_krw,premium
1770685531.291979,1457.7,1478.7491416581422,1.443996820891964
1770696289.209056,1457.0,1479.3317013899998,1.5327180089224302
1770702240.4881446,1456.4,1478.8454590313097,1.5411603289830822
1770706046.8109488,1459.6,1484.010226826482,1.6723915337408972
1770709599.59753,1460.5,1484.134132638146,1.618222022468056
1770712344.3985481,1461.0,1484.651069361326,1.6188274716855653
1770716221.2635963,1459.8,1484.6886274198143,1.7049340608175356
1770719660.9847379,1462.2,1485.658969177888,1.604361180268627
1770723129.5170424,1461.8,1484.0449640850268,1.5217515450148327
1770725295.806372,1462.5,1486.0284299293,1.6087815336273534
1770731497.045241,1460.5,1485.822398984913,1.7338171163925356
1770734979.8054268,1458.9,1487.627398299669,1.969113599264442
1770738736.6369698,1456.6,1482.854373272651,1.8024422128690814
1770742252.0591152,1456.1,1481.2776653184235,1.7291164973850408
1770745857.582707,1457.4,1480.537879609021,1.5876135315644955
1770749169.9246886,1457.9,1485.512747025555,1.894008301361882
1770752929.5108953,1456.8,1484.6144796304618,1.9092860811684411
1770755412.0446434,1456.9,1484.56915158557,1.8991798740867463
1770758573.379878,1458.0,1486.125968825081,1.9290787945871686
