timestamp,usd_krw,est_usd_krw,premium
1771463814.1894622,1450.7,1481.2791285750347,2.107887817952347
1771472832.5563798,1452.1,1481.7484518098142,2.0417637772752792
1771478018.3470867,1451.2,1480.346869631959,2.0084667607468925
1771481715.4553037,1449.5,1478.746616029154,2.017703761928526
1771485465.1028397,1446.9,1476.6163237587027,2.0537925052666135
1771487988.3996851,1446.7,1476.5251693060488,2.061600145576055
1771491383.4496107,1446.3,1477.0491964205742,2.1260593528710645
1771494225.2274454,1447.7,1476.2724407557946,1.9736437629201187
1771496863.4006634,1449.5,1477.5250568173835,1.933429238867439
1771499589.0273733,1447.6,1476.9405255106676,2.0268392864512093
1771502140.177483,1449.0,1477.4012404313319,1.9600580007820476
1771505943.718219,1449.5,1477.591597155788,1.9380198106787094
1771510278.1534283,1450.5,1478.2106557873974,1.9104209436330506
